StringID	Type	x	y	demand	ReadyTime	DueDate	ServiceDuration	RechargingRate	EVPrize	GDVPrize
D	d	-77.49439265	37.60851245	0	0	660	0	0	0	0
D2	eL3	-77.49439265	37.60851245	0	0	660	0	1	0	0
BD20	eL2	-77.08760885	39.45787498	0	0	660	0	0.108333333333333	0	0
BD12	eL2	-76.338677	36.796046	0	0	660	0	0.108333333333333	0	0
BD13	eL1	-79.156076	37.383343	0	0	660	0	0.0266666666666667	0	0
C8	cpiL3	-78.9740851	36.8305121	0	0	660	30	1	45	30
C19	cpiL3	-77.6590048	37.3962039	0	0	660	30	1	45	30
C6	cpiL3	-78.7764934	39.4575181	0	0	660	30	1	45	30
C20	cpiL2	-78.4659577	37.244794	0	0	660	30	0.108333333333333	45	30
C9	cpiL2	-76.6411773	36.6242444	0	0	660	30	0.108333333333333	45	30
C14	cpiL1	-76.3516301	39.2483241	0	0	660	30	0.0266666666666667	45	30
C10	cpiL1	-76.8716635	38.6212755	0	0	660	30	0.0266666666666667	30	30
C4	cpiL1	-79.2243834	37.5363006	0	0	660	30	0.0266666666666667	30	30
C3	cpiL1	-77.1506076	39.0999181	0	0	660	30	0.0266666666666667	30	30
C15	cpiL1	-76.2402469	39.0860214	0	0	660	30	0.0266666666666667	30	30
C7	c	-77.7066597	36.3289836	0	0	660	30	0	30	30
C13	c	-78.4179002	38.5790606	0	0	660	30	0	30	30
C2	c	-78.9224648	38.3294477	0	0	660	30	0	30	30
C12	c	-78.6500155	36.1446528	0	0	660	30	0	30	30
C17	c	-76.1280416	37.6549496	0	0	660	30	0	30	30
C16	c	-77.6273972	37.1323214	0	0	660	30	0	30	30
C1	c	-76.2725742	36.1481181	0	0	660	30	0	30	30
C5	c	-79.2613199	37.5846217	0	0	660	30	0	30	30
C18	c	-76.0499632	37.3104699	0	0	660	30	0	30	30
C11	c	-77.9688368	36.3580841	0	0	660	30	0	30	30

ID	Category	Load Capacity	Battery Capacity	Consumption Rate	Fixed Cost	Variable Cost Per Mile	Maximum Charging Rate	
EMH AVF 50kWh 0.4kWh/mile	EV	200	60	0.2	40	0.0388	1	
EMH 1.6L 4cyl Automatic	GDV	200	0	0	30	0.0656	0	

Average Velocity	0.666666666666667

Positions	Long-Lat


