StringID	Type	x	y	demand	ReadyTime	DueDate	ServiceDuration	RechargingRate	EVPrize	GDVPrize
D	d	-77.49439265	37.60851245	0	0	660	0	0	0	0
D2	eL3	-77.49439265	37.60851245	0	0	660	0	1	0	0
BD20	eL2	-77.08760885	39.45787498	0	0	660	0	0.108333333333333	0	0
BD12	eL1	-76.338677	36.796046	0	0	660	0	0.0266666666666667	0	0
BD13	eL1	-79.156076	37.383343	0	0	660	0	0.0266666666666667	0	0
C8	cpiL3	-78.8985195	38.3538769	0	0	660	30	1	45	30
C19	cpiL3	-76.2779342	36.0324045	0	0	660	30	1	45	30
C6	cpiL3	-79.0570252	38.3841371	0	0	660	30	1	45	30
C20	cpiL2	-78.1524627	37.0641689	0	0	660	30	0.108333333333333	45	30
C9	cpiL2	-78.5508817	37.3399843	0	0	660	30	0.108333333333333	45	30
C14	cpiL1	-77.6183444	36.5843791	0	0	660	30	0.0266666666666667	45	30
C10	cpiL1	-77.9943298	38.9910005	0	0	660	30	0.0266666666666667	30	30
C4	cpiL1	-78.2532021	39.025419	0	0	660	30	0.0266666666666667	30	30
C3	cpiL1	-76.981888	37.3537786	0	0	660	30	0.0266666666666667	30	30
C15	cpiL1	-77.0158713	36.9023076	0	0	660	30	0.0266666666666667	30	30
C7	c	-77.6398315	38.3043933	0	0	660	30	0	30	30
C13	c	-79.0523213	37.0510499	0	0	660	30	0	30	30
C2	c	-75.513729	37.8395967	0	0	660	30	0	30	30
C12	c	-78.2236683	39.3474172	0	0	660	30	0	30	30
C17	c	-77.7777488	36.2662448	0	0	660	30	0	30	30
C16	c	-76.6436063	39.2731421	0	0	660	30	0	30	30
C1	c	-75.9223475	37.8046517	0	0	660	30	0	30	30
C5	c	-76.4886228	38.9643767	0	0	660	30	0	30	30
C18	c	-78.1218745	37.4711497	0	0	660	30	0	30	30
C11	c	-78.2120826	36.68699	0	0	660	30	0	30	30

ID	Category	Load Capacity	Battery Capacity	Consumption Rate	Fixed Cost	Variable Cost Per Mile	Maximum Charging Rate	
EMH AVF 50kWh 0.4kWh/mile	EV	200	60	0.2	40	0.0388	1	
EMH 1.6L 4cyl Automatic	GDV	200	0	0	30	0.0656	0	

Average Velocity	0.666666666666667

Positions	Long-Lat


